trade,description,unit,rate_ghs,source,updated
Substructure - Concrete Works,"Mass concrete grade C15/20 in foundations",m3,1450,Indicative GH market 2025,2025-12-01
Substructure - Concrete Works,"Reinforced concrete grade C25/30 in column bases",m3,1850,Indicative GH market 2025,2025-12-01
In-situ Concrete Works,"Reinforced concrete grade C25/30 in suspended slabs 150mm thick",m3,2150,Indicative GH market 2025,2025-12-01
In-situ Concrete Works,"High yield steel reinforcement bars cut bent and fixed",kg,18,Indicative GH market 2025,2025-12-01
Masonry,"225mm thick sandcrete blockwork in cement mortar 1:4",m2,180,Indicative GH market 2025,2025-12-01
Masonry,"150mm thick sandcrete blockwork in cement mortar 1:4",m2,140,Indicative GH market 2025,2025-12-01
Roofing,"Long span aluzinc roofing sheet 0.45mm on softwood purlins",m2,320,Indicative GH market 2025,2025-12-01
Carpentry and Joinery,"38x150mm wrot softwood purlins treated against termite",m,55,Indicative GH market 2025,2025-12-01
Doors Windows and Ironmongery,"Aluminium sliding window with 5mm clear glass",m2,950,Indicative GH market 2025,2025-12-01
Doors Windows and Ironmongery,"Flush hardwood door 45mm thick with ironmongery",nr,1850,Indicative GH market 2025,2025-12-01
Plastering and Wall Finishings,"15mm thick cement and sand plaster 1:4 on walls",m2,55,Indicative GH market 2025,2025-12-01
Floor Finishings,"600x600mm ceramic floor tiles on cement bed",m2,210,Indicative GH market 2025,2025-12-01
Ceiling Finishings,"Suspended PVC ceiling on aluminium grid",m2,180,Indicative GH market 2025,2025-12-01
Painting and Decorating,"Three coats vinyl emulsion paint on plastered walls",m2,42,Indicative GH market 2025,2025-12-01
Plumbing and Sanitary,"Close-coupled WC suite complete",nr,1850,Indicative GH market 2025,2025-12-01
Plumbing and Sanitary,"Wash hand basin with pillar taps complete",nr,1250,Indicative GH market 2025,2025-12-01
Electrical Services,"13A single switched socket outlet on PVC trunking",nr,180,Indicative GH market 2025,2025-12-01
Electrical Services,"LED panel light 600x600mm recessed",nr,420,Indicative GH market 2025,2025-12-01
External Works,"Concrete interlocking paving blocks 60mm on sand bed",m2,180,Indicative GH market 2025,2025-12-01
Drainage,"225mm dia uPVC drain pipe in trench laid to falls",m,210,Indicative GH market 2025,2025-12-01
